"Name","OVR","PAC","SHO","PAS","DRI","DEF","PHY","Acceleration","Sprint.Speed","Positioning","Finishing","Shot.Power","Long.Shots","Volleys","Penalties","Vision","Crossing","Free.Kick.Accuracy","Short.Passing","Long.Passing","Curve","Dribbling","Agility","Balance","Reactions","Ball.Control","Composure","Interceptions","Heading.Accuracy","Def.Awareness","Standing.Tackle","Sliding.Tackle","Jumping","Stamina","Strength","Aggression","Position","Weak.foot","Skill.moves","Preferred.foot","Height","Weight","Alternative.positions","Age","Nation","League","Team","url","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","gender"
"Thibaut Courtois",89,85,89,76,90,46,88,42,52,13,14,57,17,12,27,44,14,20,33,35,19,13,63,45,88,23,66,15,13,20,18,16,68,38,70,23,"GK",3,1,"Left",200,96,"",32,"Belgium","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thibaut-courtois/192119",85,89,76,88,90,"M"
"Lautaro Martínez",89,82,88,75,87,54,85,84,80,92,93,87,80,92,74,79,68,65,79,73,80,85,89,92,92,89,88,48,86,55,51,44,93,83,85,87,"ST",4,4,"Right",174,72,"",27,"Argentina","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lautaro-martinez/231478",NA,NA,NA,NA,NA,"M"
"Virgil van Dijk",89,78,60,71,71,89,86,66,87,47,52,81,64,45,62,67,53,70,80,86,60,70,54,50,88,77,90,88,87,90,91,86,89,72,93,85,"CB",3,2,"Right",193,92,"",33,"Holland","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/virgil-van-dijk/203376",NA,NA,NA,NA,NA,"M"
"Marc-André ter Stegen",89,86,85,89,91,47,86,45,50,11,14,67,10,14,25,70,18,12,61,63,18,21,39,43,85,30,70,22,11,25,13,10,72,35,78,43,"GK",4,1,"Right",187,85,"",32,"Germany","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-andre-ter-stegen/192448",86,85,89,86,91,"M"
"Mohamed Salah",89,89,87,82,88,45,75,89,89,92,90,82,84,83,81,85,80,69,86,77,84,88,89,91,93,86,88,55,59,38,43,41,79,87,73,63,"RW",3,4,"Left",175,72,"RM",32,"Egypt","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohamed-salah/209331",NA,NA,NA,NA,NA,"M"
"Phil Foden",88,86,86,85,90,57,63,89,83,85,88,89,89,59,64,86,80,74,88,84,88,90,92,92,85,91,86,59,47,60,59,47,66,83,53,64,"RW",3,4,"Left",171,69,"LW, CAM, RM",24,"England","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/phil-foden/237692",NA,NA,NA,NA,NA,"M"
"Lionel Messi",88,79,85,87,92,33,64,86,73,89,85,83,87,86,75,90,80,92,87,86,93,93,90,95,85,93,94,40,60,20,35,24,71,70,68,44,"RW",4,4,"Left",169,67,"ST, CAM, RM",37,"Argentina","MLS","Inter Miami CF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lionel-messi/158023",NA,NA,NA,NA,NA,"M"
"Antoine Griezmann",88,80,88,87,89,59,75,81,80,90,90,85,87,86,79,88,82,85,89,86,89,88,89,84,90,91,89,59,85,45,63,64,85,86,69,74,"ST",3,4,"Left",176,73,"",33,"France","LALIGA EA SPORTS","Atlético de Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antoine-griezmann/194765",NA,NA,NA,NA,NA,"M"
"Rúben Dias",88,67,39,70,69,89,87,65,68,39,29,74,26,32,45,64,54,48,85,81,46,64,62,56,89,75,86,87,87,90,90,87,88,78,90,88,"CB",4,2,"Right",187,82,"",27,"Portugal","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-dias/239818",NA,NA,NA,NA,NA,"M"
"Robert Lewandowski",88,75,88,79,86,44,84,76,75,90,90,89,82,86,90,81,76,84,84,70,79,85,77,83,89,90,87,49,88,35,42,19,92,76,89,81,"ST",4,4,"Right",185,81,"",36,"Poland","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-lewandowski/188545",NA,NA,NA,NA,NA,"M"
"Federico Valverde",88,88,82,84,84,80,84,84,91,86,78,91,87,74,59,86,78,69,87,88,74,83,77,68,89,88,84,83,63,79,85,80,83,92,82,81,"CM",4,3,"Right",182,78,"RM",26,"Uruguay","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-valverde/239053",NA,NA,NA,NA,NA,"M"
"Ederson",88,87,82,91,87,64,86,64,63,20,14,68,18,18,65,70,20,20,65,68,39,30,60,48,88,45,70,27,14,29,15,NA,79,44,78,38,"GK",3,1,"Left",188,86,"",31,"Brazil","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/210257",87,82,91,86,87,"M"
"Bernardo Silva",88,75,78,86,92,71,69,83,69,85,78,79,79,78,64,87,84,67,91,82,84,93,95,92,89,92,89,73,54,70,76,68,68,93,54,78,"CM",3,4,"Left",173,64,"RW",30,"Portugal","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bernardo-silva/218667",NA,NA,NA,NA,NA,"M"
"Jan Oblak",88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,67,13,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,"GK",3,1,"Right",188,87,"",31,"Slovenia","LALIGA EA SPORTS","Atlético de Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-oblak/200389",85,90,78,86,87,"M"
"Antonio Rüdiger",88,82,55,73,70,86,86,71,91,54,40,84,67,34,40,61,68,56,84,81,50,69,56,50,86,74,80,85,83,86,88,87,89,70,91,92,"CB",3,2,"Right",190,86,"",31,"Germany","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antonio-rudiger/205452",NA,NA,NA,NA,NA,"M"
"Florian Wirtz",88,81,78,87,89,50,67,81,81,83,79,78,79,80,64,91,84,69,91,87,82,90,87,87,88,90,85,44,42,58,49,44,64,87,59,63,"CAM",4,4,"Right",177,71,"LM",21,"Germany","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florian-wirtz/256630",NA,NA,NA,NA,NA,"M"
"Gregor Kobel",88,87,86,73,89,44,87,38,52,10,10,55,10,10,12,59,13,12,39,33,13,24,37,29,86,34,66,14,13,15,15,15,71,30,81,24,"GK",3,1,"Right",195,88,"",26,"Switzerland","Bundesliga","Borussia Dortmund","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gregor-kobel/235073",87,86,73,87,89,"M"
"William Saliba",87,82,39,70,74,87,83,77,86,43,35,60,23,34,47,62,58,35,84,78,55,74,53,46,86,82,85,86,79,88,89,86,89,72,87,83,"CB",3,2,"Right",193,85,"",23,"France","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/william-saliba/243715",NA,NA,NA,NA,NA,"M"
"Victor Osimhen",87,89,84,65,81,42,82,85,92,92,88,86,74,83,75,70,62,52,72,54,63,80,78,67,89,84,80,34,86,36,45,22,94,81,86,68,"ST",4,3,"Right",186,77,"",25,"Nigeria","Serie A Enilive","SSC Napoli","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/victor-osimhen/232293",NA,NA,NA,NA,NA,"M"
"Jamal Musiala",87,84,81,78,90,63,64,86,83,86,84,80,79,73,59,84,67,59,84,79,75,94,93,93,87,84,83,65,49,64,63,66,69,78,59,59,"CAM",4,5,"Right",184,72,"LM, CM",21,"Germany","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jamal-musiala/256790",NA,NA,NA,NA,NA,"M"
"Bukayo Saka",87,85,83,81,88,60,70,88,83,82,84,79,83,79,87,86,85,69,83,70,84,89,85,88,85,88,82,62,49,60,62,60,71,86,63,68,"RW",4,3,"Left",178,65,"RM",23,"England","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bukayo-saka/246669",NA,NA,NA,NA,NA,"M"
"Paulo Dybala",87,80,85,84,89,41,65,84,76,83,84,84,86,92,88,88,83,87,84,79,89,89,88,90,84,91,87,42,65,32,42,39,77,74,67,48,"CAM",3,5,"Left",177,75,"ST",30,"Argentina","Serie A Enilive","AS Roma","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paulo-dybala/211110",NA,NA,NA,NA,NA,"M"
"Theo Hernández",87,95,76,78,84,81,89,95,95,80,71,86,76,80,75,75,84,75,81,70,80,84,83,81,85,85,80,80,77,78,86,80,95,92,88,86,"LB",3,4,"Left",184,81,"LM",26,"France","Serie A Enilive","Milano FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/theo-hernandez/232656",NA,NA,NA,NA,NA,"M"
"Neymar Jr",87,85,79,84,92,37,60,86,84,81,80,77,75,84,85,85,81,87,85,80,86,94,90,83,78,93,92,37,63,35,32,29,72,73,52,63,"LW",5,5,"Right",175,68,"CAM, LM",32,"Brazil","ROSHN Saudi League","Al Hilal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/neymar-jr/190871",NA,NA,NA,NA,NA,"M"
"Declan Rice",87,73,72,82,79,84,85,71,75,71,64,84,82,50,71,79,79,65,85,86,81,82,55,65,85,84,86,86,72,85,86,85,82,92,81,85,"CDM",3,3,"Right",185,80,"CM",25,"England","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/declan-rice/234378",NA,NA,NA,NA,NA,"M"
"Frenkie de Jong",87,82,69,86,87,77,78,80,83,77,72,68,66,70,53,88,78,64,91,89,84,87,87,79,88,89,90,82,72,76,76,77,82,89,74,74,"CM",3,4,"Right",181,74,"CDM",27,"Holland","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frenkie-de-jong/228702",NA,NA,NA,NA,NA,"M"
"Mike Maignan",87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,65,18,16,64,61,38,30,60,56,85,40,68,25,17,23,16,19,82,39,83,35,"GK",4,1,"Right",191,89,"",29,"France","Serie A Enilive","Milano FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-maignan/215698",84,83,85,84,88,"M"
"Bruno Fernandes",87,70,85,88,83,65,75,72,68,87,84,86,85,87,90,94,82,82,89,90,85,83,78,76,90,86,79,63,63,62,71,66,70,95,61,84,"CAM",3,4,"Right",179,69,"CM",30,"Portugal","Premier League","Man Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-fernandes/212198",NA,NA,NA,NA,NA,"M"
"Heung Min Son",87,87,89,81,85,42,73,86,88,91,90,89,89,83,75,82,84,74,83,72,87,87,81,74,90,85,88,39,72,45,34,33,82,88,69,62,"ST",5,4,"Right",183,78,"LM",32,"Korea Republic","Premier League","Spurs","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/heung-min-son/200104",NA,NA,NA,NA,NA,"M"
"Marquinhos",87,79,56,75,74,89,81,76,81,70,59,65,45,35,52,76,68,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,83,79,81,"CB",3,3,"Right",183,75,"",30,"Brazil","Ligue 1 McDonald's","Paris SG","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865",NA,NA,NA,NA,NA,"M"
"Alessandro Bastoni",87,75,43,75,76,87,83,72,78,39,34,59,48,44,50,72,72,41,80,84,64,74,64,61,87,83,85,88,86,87,87,85,89,81,83,83,"CB",3,2,"Left",190,75,"",25,"Italy","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessandro-bastoni/237383",NA,NA,NA,NA,NA,"M"
"İlkay Gündoğan",87,62,83,85,87,74,73,65,60,86,85,81,84,75,80,86,77,80,89,85,86,88,77,77,86,91,87,78,50,77,78,67,67,75,73,70,"CM",4,4,"Right",180,80,"CDM",33,"Germany","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ilkay-gundogan/186942",NA,NA,NA,NA,NA,"M"
"Emiliano Martínez",87,84,82,83,86,56,87,55,57,12,16,62,16,13,43,67,22,20,61,59,22,23,54,49,84,43,69,21,26,25,20,20,79,40,78,37,"GK",4,1,"Right",195,88,"",32,"Argentina","Premier League","Aston Villa","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emiliano-martinez/202811",84,82,83,87,86,"M"
"Nicolò Barella",87,81,78,83,86,80,82,85,78,83,76,80,79,80,73,84,79,67,88,85,79,82,91,92,90,88,86,84,60,80,83,81,79,93,74,87,"CM",4,3,"Right",172,68,"CDM",27,"Italy","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-barella/224232",NA,NA,NA,NA,NA,"M"
"Yann Sommer",87,83,84,85,89,50,86,48,54,15,13,64,12,NA,24,64,13,13,40,36,12,15,55,58,84,25,54,21,10,NA,19,12,68,45,68,38,"GK",4,1,"Right",183,77,"",35,"Switzerland","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-sommer/177683",83,84,85,86,89,"M"
"Cristiano Ronaldo",86,77,88,77,80,34,77,73,80,90,87,92,85,83,90,78,78,76,79,70,79,77,76,61,87,86,92,29,87,24,32,24,94,80,79,62,"ST",4,5,"Right",187,85,"",39,"Portugal","ROSHN Saudi League","Al Nassr","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristiano-ronaldo/20801",NA,NA,NA,NA,NA,"M"
"Gabriel",86,69,41,63,61,86,82,61,76,44,37,62,30,28,40,59,38,27,80,76,47,54,51,37,85,71,74,86,87,87,86,86,86,71,86,87,"CB",2,2,"Left",190,87,"",26,"Brazil","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel/232580",NA,NA,NA,NA,NA,"M"
"Granit Xhaka",86,50,75,85,74,79,82,48,52,76,67,90,84,55,65,84,77,78,89,90,80,73,51,61,86,83,81,79,68,82,79,78,70,83,78,93,"CDM",3,3,"Left",186,80,"CM",31,"Switzerland","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/granit-xhaka/199503",NA,NA,NA,NA,NA,"M"
"Rodrygo",86,89,81,79,88,31,64,90,88,84,86,76,77,67,82,83,79,73,80,73,80,89,87,84,84,87,85,21,67,24,34,30,77,81,59,54,"RW",4,4,"Right",174,64,"ST, RM",23,"Brazil","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrygo/243812",NA,NA,NA,NA,NA,"M"
"João Cancelo",86,81,73,85,85,80,72,86,77,81,69,80,79,62,52,85,87,69,87,79,87,85,79,78,84,87,85,81,72,79,83,79,80,88,62,76,"LB",4,4,"Right",182,74,"RB, RM",30,"Portugal","ROSHN Saudi League","Al Hilal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joao-cancelo/210514",NA,NA,NA,NA,NA,"M"
"Rafael Leão",86,94,79,80,87,28,77,94,94,76,83,80,75,74,63,84,84,60,83,70,79,88,85,84,84,87,83,24,72,22,24,21,90,75,83,60,"LW",4,5,"Right",188,81,"LM, ST",25,"Portugal","Serie A Enilive","Milano FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafael-leao/241721",NA,NA,NA,NA,NA,"M"
"Grimaldo",86,74,73,88,85,76,71,77,71,79,67,84,83,63,54,85,93,89,87,85,89,85,84,86,86,86,83,79,62,76,78,74,73,90,63,69,"LM",2,4,"Left",171,68,"LB, LW",28,"Spain","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/grimaldo/210035",NA,NA,NA,NA,NA,"M"
"Luka Modrić",86,72,76,88,87,71,64,75,69,76,72,79,82,76,83,90,86,78,90,90,85,84,92,92,85,90,91,79,55,70,73,72,67,76,58,62,"CM",4,4,"Right",172,66,"CAM, CDM",39,"Croatia","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luka-modric/177003",NA,NA,NA,NA,NA,"M"
"Alexis Mac Allister",86,69,82,85,84,76,76,71,67,80,79,88,82,77,86,86,79,82,87,86,83,84,82,83,85,86,84,78,61,77,79,73,72,87,69,83,"CM",3,3,"Right",176,72,"CDM",25,"Argentina","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexis-mac-allister/239837",NA,NA,NA,NA,NA,"M"
"Carvajal",86,81,58,79,81,81,79,82,81,75,56,68,52,53,45,78,85,47,84,74,77,78,78,84,85,85,83,81,76,80,84,83,85,84,74,85,"RB",3,3,"Right",173,73,"",32,"Spain","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carvajal/204963",NA,NA,NA,NA,NA,"M"
"Ousmane Dembélé",86,92,75,82,88,41,57,94,91,80,72,83,74,76,75,85,86,64,83,78,84,89,94,81,82,87,82,38,43,42,42,34,65,69,52,54,"RW",5,5,"Left",178,67,"CAM, RM",27,"France","Ligue 1 McDonald's","Paris SG","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ousmane-dembele/231443",NA,NA,NA,NA,NA,"M"
"Trent Alexander-Arnold",86,75,72,90,80,80,74,72,78,79,64,85,76,68,66,89,93,85,89,92,88,79,73,72,85,85,82,84,69,78,82,78,75,89,68,69,"RB",4,3,"Right",180,72,"",25,"England","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/trent-alexander-arnold/231281",NA,NA,NA,NA,NA,"M"
"Pedri",86,77,69,82,88,70,74,79,76,79,72,68,68,56,53,88,68,62,88,86,79,87,88,90,87,88,87,73,50,68,77,65,73,87,73,62,"CM",4,4,"Right",174,60,"LW",21,"Spain","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pedri/251854",NA,NA,NA,NA,NA,"M"
"Jonathan Tah",86,71,38,60,62,86,84,53,86,36,32,60,26,53,38,56,39,27,78,68,37,60,49,40,84,67,79,83,87,87,87,81,86,69,92,83,"CB",3,2,"Right",195,94,"",28,"Germany","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonathan-tah/213331",NA,NA,NA,NA,NA,"M"
"Karim Benzema",86,77,85,81,84,38,77,76,77,88,87,87,81,87,68,86,75,73,86,76,82,84,77,72,84,87,84,39,87,43,24,18,84,80,81,63,"ST",4,4,"Right",185,81,"",36,"France","ROSHN Saudi League","Al Ittihad","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/karim-benzema/165153",NA,NA,NA,NA,NA,"M"
"Bremer",86,82,50,58,66,86,85,78,86,58,49,68,39,38,43,45,46,24,75,69,42,62,65,67,79,68,78,84,87,87,87,84,94,75,89,84,"CB",2,2,"Right",187,84,"",27,"Brazil","Serie A Enilive","Juventus","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bremer/239580",NA,NA,NA,NA,NA,"M"
"Joshua Kimmich",86,69,74,88,84,81,77,77,62,78,68,78,83,69,69,85,91,79,88,91,85,82,83,84,88,85,86,85,72,81,82,83,79,88,68,86,"RB",4,3,"Right",177,75,"CDM, CM",29,"Germany","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joshua-kimmich/212622",NA,NA,NA,NA,NA,"M"
"Unai Simón",86,85,81,78,86,49,85,48,50,14,14,59,13,17,24,48,16,14,38,34,20,12,37,47,82,16,46,26,18,11,18,12,74,44,76,29,"GK",3,1,"Right",190,89,"",27,"Spain","LALIGA EA SPORTS","Athletic Club","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/unai-simon/230869",85,81,78,85,86,"M"
"Manuel Neuer",86,83,81,90,83,49,88,48,50,12,13,68,16,11,49,70,15,11,60,68,14,30,51,35,84,44,70,30,25,17,10,11,77,43,80,29,"GK",4,1,"Right",193,93,"",38,"Germany","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-neuer/167495",83,81,90,88,83,"M"
"Hakan Çalhanoğlu",86,71,80,87,85,79,76,74,68,74,75,86,87,74,90,89,78,85,89,89,88,84,83,80,86,88,85,82,65,80,81,78,76,81,72,80,"CDM",5,4,"Right",178,69,"CM",30,"Turkey","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hakan-calhanoglu/208128",NA,NA,NA,NA,NA,"M"
"David Alaba",85,79,71,83,80,85,77,78,79,73,62,82,78,67,79,78,83,85,88,80,76,77,76,78,88,83,84,87,77,89,84,83,86,73,78,77,"CB",4,3,"Left",180,78,"LB",32,"Austria","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-alaba/197445",NA,NA,NA,NA,NA,"M"
"Ronald Araujo",85,82,53,64,62,85,84,76,86,56,56,68,35,38,43,59,58,45,75,66,47,55,56,55,84,68,76,85,85,84,85,85,92,72,87,87,"CB",3,2,"Right",188,79,"RB",25,"Uruguay","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ronald-araujo/253163",NA,NA,NA,NA,NA,"M"
"Julian Brandt",85,71,79,85,86,50,70,69,72,82,80,82,80,79,55,87,82,76,87,83,80,86,83,83,86,87,84,56,54,49,45,56,69,85,72,45,"CAM",4,4,"Right",185,83,"RM, CM",28,"Germany","Bundesliga","Borussia Dortmund","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/julian-brandt/212194",NA,NA,NA,NA,NA,"M"
"Éder Militão",85,85,50,69,71,85,82,81,88,64,48,62,42,34,60,59,69,40,78,76,60,70,70,62,84,72,76,85,86,85,86,85,91,85,79,83,"CB",3,2,"Right",186,78,"",26,"Brazil","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/eder-militao/240130",NA,NA,NA,NA,NA,"M"
"Bruno Guimarães",85,68,75,83,84,79,83,69,68,78,72,79,82,66,65,85,76,62,87,87,81,85,78,84,84,85,87,80,66,78,82,79,77,88,79,87,"CDM",2,3,"Right",182,74,"CM",26,"Brazil","Premier League","Newcastle Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-guimaraes/247851",NA,NA,NA,NA,NA,"M"
"Alexander Isak",85,85,84,73,86,39,74,83,87,86,87,82,78,79,83,80,68,65,78,60,75,88,80,69,85,87,86,38,78,35,34,29,88,78,77,58,"ST",5,4,"Right",192,77,"",24,"Sweden","Premier League","Newcastle Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-isak/233731",NA,NA,NA,NA,NA,"M"
"N'Golo Kanté",85,76,65,73,80,85,78,79,74,72,64,71,65,56,54,77,68,49,80,74,49,78,78,93,87,81,82,88,54,88,90,86,73,82,72,87,"CDM",3,2,"Right",168,70,"CM",33,"France","ROSHN Saudi League","Al Ittihad","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/n-golo-kante/215914",NA,NA,NA,NA,NA,"M"
